window,kind,seed,sel,thr,acc,bal,prec,rec,f1
7,cnn,1,acc,0.17500000000000004,0.6,0.5,0.6,1.0,0.75
7,cnn,1,bal,0.7500000000000002,0.4461538461538462,0.5128205128205128,0.6363636363636364,0.1794871794871795,0.28
7,cnn,1,f1,0.17500000000000004,0.6,0.5,0.6,1.0,0.75
7,cnn,2,acc,0.05,0.6,0.5,0.6,1.0,0.75
7,cnn,2,bal,0.7000000000000003,0.4461538461538462,0.5128205128205128,0.6363636363636364,0.1794871794871795,0.28
7,cnn,2,f1,0.05,0.6,0.5,0.6,1.0,0.75
7,cnn,3,acc,0.3750000000000001,0.6,0.5,0.6,1.0,0.75
7,cnn,3,bal,0.8750000000000003,0.47692307692307695,0.5576923076923077,0.8571428571428571,0.15384615384615385,0.2608695652173913
7,cnn,3,f1,0.3750000000000001,0.6,0.5,0.6,1.0,0.75
7,gru,1,acc,0.05,0.6,0.5,0.6,1.0,0.75
7,gru,1,bal,0.9500000000000004,0.4,0.46153846153846156,0.5,0.15384615384615385,0.23529411764705882
7,gru,1,f1,0.05,0.6,0.5,0.6,1.0,0.75
7,gru,2,acc,0.05,0.6,0.5,0.6,1.0,0.75
7,gru,2,bal,0.8500000000000003,0.36923076923076925,0.44871794871794873,0.3333333333333333,0.05128205128205128,0.08888888888888889
7,gru,2,f1,0.05,0.6,0.5,0.6,1.0,0.75
7,gru,3,acc,0.05,0.6,0.5,0.6,1.0,0.75
7,gru,3,bal,0.8500000000000003,0.4153846153846154,0.48717948717948717,0.5555555555555556,0.1282051282051282,0.20833333333333334
7,gru,3,f1,0.05,0.6,0.5,0.6,1.0,0.75
7,lstm,1,acc,0.05,0.6,0.5,0.6,1.0,0.75
7,lstm,1,bal,0.5250000000000001,0.5538461538461539,0.5576923076923077,0.65625,0.5384615384615384,0.5915492957746479
7,lstm,1,f1,0.05,0.6,0.5,0.6,1.0,0.75
7,lstm,2,acc,0.05,0.6,0.5,0.6,1.0,0.75
7,lstm,2,bal,0.17500000000000004,0.5692307692307692,0.47435897435897434,0.5873015873015873,0.9487179487179487,0.7254901960784313
7,lstm,2,f1,0.05,0.6,0.5,0.6,1.0,0.75
7,lstm,3,acc,0.17500000000000004,0.5846153846153846,0.48717948717948717,0.59375,0.9743589743589743,0.7378640776699029
7,lstm,3,bal,0.7000000000000003,0.4307692307692308,0.47435897435897434,0.5555555555555556,0.2564102564102564,0.3508771929824561
7,lstm,3,f1,0.17500000000000004,0.5846153846153846,0.48717948717948717,0.59375,0.9743589743589743,0.7378640776699029
7,bilstm,1,acc,0.05,0.6,0.5,0.6,1.0,0.75
7,bilstm,1,bal,0.6750000000000003,0.4307692307692308,0.4807692307692307,0.5625,0.23076923076923078,0.32727272727272727
7,bilstm,1,f1,0.05,0.6,0.5,0.6,1.0,0.75
7,bilstm,2,acc,0.05,0.6,0.5,0.6,1.0,0.75
7,bilstm,2,bal,0.8000000000000003,0.4,0.47435897435897434,0.5,0.10256410256410256,0.1702127659574468
7,bilstm,2,f1,0.05,0.6,0.5,0.6,1.0,0.75
7,bilstm,3,acc,0.05,0.6,0.5,0.6,1.0,0.75
7,bilstm,3,bal,0.7250000000000003,0.38461538461538464,0.4294871794871795,0.47058823529411764,0.20512820512820512,0.2857142857142857
7,bilstm,3,f1,0.05,0.6,0.5,0.6,1.0,0.75
14,cnn,1,acc,0.05,0.59375,0.5,0.59375,1.0,0.7450980392156863
14,cnn,1,bal,0.5750000000000002,0.390625,0.47469635627530365,0.3333333333333333,0.02631578947368421,0.04878048780487805
14,cnn,1,f1,0.05,0.59375,0.5,0.59375,1.0,0.7450980392156863
14,cnn,2,acc,0.05,0.59375,0.5,0.59375,1.0,0.7450980392156863
14,cnn,2,bal,0.8500000000000003,0.40625,0.5,0.0,0.0,0.0
14,cnn,2,f1,0.05,0.59375,0.5,0.59375,1.0,0.7450980392156863
14,cnn,3,acc,0.05,0.59375,0.5,0.59375,1.0,0.7450980392156863
14,cnn,3,bal,0.6750000000000003,0.5,0.5546558704453441,0.7142857142857143,0.2631578947368421,0.38461538461538464
14,cnn,3,f1,0.05,0.59375,0.5,0.59375,1.0,0.7450980392156863
14,gru,1,acc,0.05,0.59375,0.5,0.59375,1.0,0.7450980392156863
14,gru,1,bal,0.5750000000000002,0.390625,0.4382591093117409,0.4666666666666667,0.18421052631578946,0.2641509433962264
14,gru,1,f1,0.05,0.59375,0.5,0.59375,1.0,0.7450980392156863
14,gru,2,acc,0.05,0.59375,0.5,0.59375,1.0,0.7450980392156863
14,gru,2,bal,0.6500000000000002,0.734375,0.7459514170040487,0.8387096774193549,0.6842105263157895,0.7536231884057971
14,gru,2,f1,0.05,0.59375,0.5,0.59375,1.0,0.7450980392156863
14,gru,3,acc,0.05,0.59375,0.5,0.59375,1.0,0.7450980392156863
14,gru,3,bal,0.8750000000000003,0.453125,0.521255060728745,0.6666666666666666,0.15789473684210525,0.2553191489361702
14,gru,3,f1,0.05,0.59375,0.5,0.59375,1.0,0.7450980392156863
14,lstm,1,acc,0.05,0.59375,0.5,0.59375,1.0,0.7450980392156863
14,lstm,1,bal,0.5750000000000002,0.359375,0.4058704453441295,0.4,0.15789473684210525,0.22641509433962265
14,lstm,1,f1,0.05,0.59375,0.5,0.59375,1.0,0.7450980392156863
14,lstm,2,acc,0.25000000000000006,0.625,0.5384615384615384,0.6129032258064516,1.0,0.76
14,lstm,2,bal,0.3500000000000001,0.640625,0.569838056680162,0.631578947368421,0.9473684210526315,0.7578947368421053
14,lstm,2,f1,0.25000000000000006,0.625,0.5384615384615384,0.6129032258064516,1.0,0.76
14,lstm,3,acc,0.05,0.640625,0.5576923076923077,0.6229508196721312,1.0,0.7676767676767676
14,lstm,3,bal,0.5250000000000001,0.46875,0.5101214574898785,0.6111111111111112,0.2894736842105263,0.39285714285714285
14,lstm,3,f1,0.05,0.640625,0.5576923076923077,0.6229508196721312,1.0,0.7676767676767676
14,bilstm,1,acc,0.22500000000000003,0.5625,0.4858299595141701,0.5862068965517241,0.8947368421052632,0.7083333333333334
14,bilstm,1,bal,0.4000000000000001,0.515625,0.458502024291498,0.5686274509803921,0.7631578947368421,0.651685393258427
14,bilstm,1,f1,0.22500000000000003,0.5625,0.4858299595141701,0.5862068965517241,0.8947368421052632,0.7083333333333334
14,bilstm,2,acc,0.05,0.5625,0.4797570850202429,0.5833333333333334,0.9210526315789473,0.7142857142857143
14,bilstm,2,bal,0.9000000000000004,0.453125,0.521255060728745,0.6666666666666666,0.15789473684210525,0.2553191489361702
14,bilstm,2,f1,0.05,0.5625,0.4797570850202429,0.5833333333333334,0.9210526315789473,0.7142857142857143
14,bilstm,3,acc,0.05,0.59375,0.5,0.59375,1.0,0.7450980392156863
14,bilstm,3,bal,0.8000000000000003,0.421875,0.4767206477732794,0.5384615384615384,0.18421052631578946,0.27450980392156865
14,bilstm,3,f1,0.05,0.59375,0.5,0.59375,1.0,0.7450980392156863
30,cnn,1,acc,0.05,0.5967741935483871,0.5,0.5967741935483871,1.0,0.7474747474747475
30,cnn,1,bal,0.6000000000000002,0.43548387096774194,0.5205405405405406,0.75,0.08108108108108109,0.14634146341463414
30,cnn,1,f1,0.05,0.5967741935483871,0.5,0.5967741935483871,1.0,0.7474747474747475
30,cnn,2,acc,0.5250000000000001,0.532258064516129,0.5691891891891891,0.7,0.3783783783783784,0.49122807017543857
30,cnn,2,bal,0.5500000000000003,0.5,0.5421621621621622,0.6666666666666666,0.32432432432432434,0.43636363636363634
30,cnn,2,f1,0.5250000000000001,0.532258064516129,0.5691891891891891,0.7,0.3783783783783784,0.49122807017543857
30,cnn,3,acc,0.6500000000000002,0.5967741935483871,0.6102702702702703,0.7142857142857143,0.5405405405405406,0.6153846153846154
30,cnn,3,bal,0.6750000000000003,0.5645161290322581,0.5832432432432433,0.6923076923076923,0.4864864864864865,0.5714285714285714
30,cnn,3,f1,0.6500000000000002,0.5967741935483871,0.6102702702702703,0.7142857142857143,0.5405405405405406,0.6153846153846154
30,gru,1,acc,0.05,0.5967741935483871,0.5,0.5967741935483871,1.0,0.7474747474747475
30,gru,1,bal,0.8000000000000003,0.3548387096774194,0.4335135135135135,0.2,0.02702702702702703,0.047619047619047616
30,gru,1,f1,0.05,0.5967741935483871,0.5,0.5967741935483871,1.0,0.7474747474747475
30,gru,2,acc,0.20000000000000007,0.5967741935483871,0.5,0.5967741935483871,1.0,0.7474747474747475
30,gru,2,bal,0.20000000000000007,0.5967741935483871,0.5,0.5967741935483871,1.0,0.7474747474747475
30,gru,2,f1,0.20000000000000007,0.5967741935483871,0.5,0.5967741935483871,1.0,0.7474747474747475
30,gru,3,acc,0.05,0.5967741935483871,0.5,0.5967741935483871,1.0,0.7474747474747475
30,gru,3,bal,0.8000000000000003,0.5161290322580645,0.5556756756756757,0.6842105263157895,0.35135135135135137,0.4642857142857143
30,gru,3,f1,0.05,0.5967741935483871,0.5,0.5967741935483871,1.0,0.7474747474747475
30,lstm,1,acc,0.05,0.5967741935483871,0.5,0.5967741935483871,1.0,0.7474747474747475
30,lstm,1,bal,0.6250000000000002,0.3387096774193548,0.34216216216216216,0.42857142857142855,0.32432432432432434,0.36923076923076925
30,lstm,1,f1,0.05,0.5967741935483871,0.5,0.5967741935483871,1.0,0.7474747474747475
30,lstm,2,acc,0.05,0.5967741935483871,0.5,0.5967741935483871,1.0,0.7474747474747475
30,lstm,2,bal,0.5500000000000003,0.5,0.5356756756756756,0.65,0.35135135135135137,0.45614035087719296
30,lstm,2,f1,0.05,0.5967741935483871,0.5,0.5967741935483871,1.0,0.7474747474747475
30,lstm,3,acc,0.20000000000000007,0.5967741935483871,0.5,0.5967741935483871,1.0,0.7474747474747475
30,lstm,3,bal,0.4000000000000001,0.5645161290322581,0.47297297297297297,0.5833333333333334,0.9459459459459459,0.7216494845360825
30,lstm,3,f1,0.20000000000000007,0.5967741935483871,0.5,0.5967741935483871,1.0,0.7474747474747475
30,bilstm,1,acc,0.05,0.5967741935483871,0.5,0.5967741935483871,1.0,0.7474747474747475
30,bilstm,1,bal,0.6750000000000003,0.25806451612903225,0.2875675675675676,0.2631578947368421,0.13513513513513514,0.17857142857142858
30,bilstm,1,f1,0.05,0.5967741935483871,0.5,0.5967741935483871,1.0,0.7474747474747475
30,bilstm,2,acc,0.07500000000000001,0.5967741935483871,0.5,0.5967741935483871,1.0,0.7474747474747475
30,bilstm,2,bal,0.22500000000000003,0.5645161290322581,0.5118918918918919,0.6041666666666666,0.7837837837837838,0.6823529411764706
30,bilstm,2,f1,0.07500000000000001,0.5967741935483871,0.5,0.5967741935483871,1.0,0.7474747474747475
30,bilstm,3,acc,0.25000000000000006,0.5483870967741935,0.48540540540540544,0.5882352941176471,0.8108108108108109,0.6818181818181818
30,bilstm,3,bal,0.25000000000000006,0.5483870967741935,0.48540540540540544,0.5882352941176471,0.8108108108108109,0.6818181818181818
30,bilstm,3,f1,0.25000000000000006,0.5483870967741935,0.48540540540540544,0.5882352941176471,0.8108108108108109,0.6818181818181818
60,cnn,1,acc,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,cnn,1,bal,0.7500000000000002,0.40350877192982454,0.5,0.0,0.0,0.0
60,cnn,1,f1,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,cnn,2,acc,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,cnn,2,bal,0.6500000000000002,0.40350877192982454,0.5,0.0,0.0,0.0
60,cnn,2,f1,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,cnn,3,acc,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,cnn,3,bal,0.7750000000000002,0.40350877192982454,0.5,0.0,0.0,0.0
60,cnn,3,f1,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,gru,1,acc,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,gru,1,bal,0.6500000000000002,0.3333333333333333,0.39194373401534527,0.3,0.08823529411764706,0.13636363636363635
60,gru,1,f1,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,gru,2,acc,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,gru,2,bal,0.5250000000000001,0.3684210526315789,0.4002557544757033,0.4444444444444444,0.23529411764705882,0.3076923076923077
60,gru,2,f1,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,gru,3,acc,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,gru,3,bal,0.8000000000000003,0.38596491228070173,0.47122762148337594,0.3333333333333333,0.029411764705882353,0.05405405405405406
60,gru,3,f1,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,lstm,1,acc,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,lstm,1,bal,0.8250000000000003,0.40350877192982454,0.5,0.0,0.0,0.0
60,lstm,1,f1,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,lstm,2,acc,0.5000000000000002,0.38596491228070173,0.47122762148337594,0.3333333333333333,0.029411764705882353,0.05405405405405406
60,lstm,2,bal,0.5000000000000002,0.38596491228070173,0.47122762148337594,0.3333333333333333,0.029411764705882353,0.05405405405405406
60,lstm,2,f1,0.5000000000000002,0.38596491228070173,0.47122762148337594,0.3333333333333333,0.029411764705882353,0.05405405405405406
60,lstm,3,acc,0.4000000000000001,0.5964912280701754,0.5140664961636828,0.6037735849056604,0.9411764705882353,0.735632183908046
60,lstm,3,bal,0.8500000000000003,0.40350877192982454,0.5,0.0,0.0,0.0
60,lstm,3,f1,0.4000000000000001,0.5964912280701754,0.5140664961636828,0.6037735849056604,0.9411764705882353,0.735632183908046
60,bilstm,1,acc,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,bilstm,1,bal,0.6500000000000002,0.45614035087719296,0.5159846547314578,0.6363636363636364,0.20588235294117646,0.3111111111111111
60,bilstm,1,f1,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,bilstm,2,acc,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,bilstm,2,bal,0.6000000000000002,0.38596491228070173,0.4641943734015345,0.4,0.058823529411764705,0.10256410256410256
60,bilstm,2,f1,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,bilstm,3,acc,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,bilstm,3,bal,0.7750000000000002,0.5964912280701754,0.5984654731457801,0.6896551724137931,0.5882352941176471,0.6349206349206349
60,bilstm,3,f1,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
